fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,id
7.5,0.33,0.32,11.1,0.036,25.0,119.0,0
6.3,0.27,0.29,12.2,0.044,59.0,196.0,1
7.0,0.3,0.51,13.6,0.05,40.0,168.0,2
7.4,0.38,0.27,7.5,0.041,24.0,160.0,3
8.1,0.12,0.38,0.9,0.034,36.0,86.0,4
6.6,0.2,0.38,7.9,0.052,30.0,145.0,5
7.3,0.26,0.36,5.2,0.04,31.0,141.0,6
6.9,0.32,0.17,7.6,0.042,69.0,219.0,7
8.5,0.18,0.3,1.1,0.028,34.0,95.0,8
7.2,0.27,0.28,15.2,0.046,6.0,41.0,9
6.7,0.3,0.45,10.6,0.032,56.0,212.0,10
6.7,0.23,0.31,2.1,0.046,30.0,96.0,11
8.6,0.34,0.36,1.4,0.045,11.0,119.0,12
7.4,0.2,0.43,7.8,0.045,27.0,153.0,13
6.7,0.27,0.26,2.3,0.043,61.0,181.0,14
7.1,0.24,0.41,17.8,0.046,39.0,145.0,15
6.7,0.25,0.34,12.85,0.048,30.0,161.0,16
6.8,0.37,0.51,11.8,0.044,62.0,163.0,17
6.5,0.35,0.38,7.4,0.036,20.0,196.0,18
8.3,0.28,0.27,17.5,0.045,48.0,253.0,19
6.2,0.35,0.25,18.4,0.051,28.0,182.0,20
7.1,0.29,0.34,7.8,0.036,49.0,128.0,21
5.6,0.185,0.19,7.1,0.048,36.0,110.0,22
7.0,0.32,0.35,1.5,0.039,24.0,125.0,23
7.6,0.26,0.47,1.6,0.068,5.0,55.0,24
7.7,0.39,0.3,5.2,0.037,29.0,131.0,25
7.4,0.19,0.49,9.3,0.03,26.0,132.0,26
6.2,0.15,0.46,1.6,0.039,38.0,123.0,27
7.2,0.23,0.38,14.3,0.058,55.0,194.0,28
8.1,0.26,0.33,11.1,0.052,52.5,158.0,29
6.8,0.15,0.3,5.3,0.05,40.0,127.0,30
5.0,0.33,0.16,1.5,0.049,10.0,97.0,31
6.3,0.27,0.25,5.8,0.038,52.0,155.0,32
7.5,0.28,0.34,4.2,0.028,36.0,116.0,33
6.0,0.39,0.13,1.2,0.042,60.0,172.0,34
6.1,0.3,0.3,2.1,0.031,50.0,163.0,35
7.1,0.2,0.3,0.9,0.019,4.0,28.0,36
7.0,0.35,0.3,6.5,0.028,27.0,87.0,37
6.5,0.36,0.28,3.2,0.037,29.0,119.0,38
7.6,0.28,0.49,20.15,0.06,30.0,145.0,39
6.7,0.36,0.28,8.3,0.034,29.0,81.0,40
8.3,0.3,0.36,10.0,0.042,33.0,169.0,41
6.8,0.29,0.32,1.8,0.032,18.0,130.0,42
6.4,0.2,0.22,7.4,0.032,53.0,172.0,43
7.3,0.25,0.36,13.1,0.05,35.0,200.0,44
6.5,0.18,0.34,1.6,0.04,43.0,148.0,45
7.3,0.26,0.53,12.7,0.047,60.5,156.0,46
7.0,0.14,0.4,1.7,0.035,16.0,85.0,47
7.0,0.28,0.39,8.7,0.051,32.0,141.0,48
7.7,0.24,0.3,1.4,0.041,15.0,102.0,49
7.9,0.22,0.38,8.0,0.043,46.0,152.0,50
8.5,0.25,0.27,4.7,0.031,31.0,92.0,51
7.4,0.22,0.26,8.8,0.027,23.0,112.0,52
6.4,0.43,0.27,1.1,0.054,5.0,110.0,53
5.6,0.16,0.27,1.4,0.044,53.0,168.0,54
5.9,0.32,0.28,4.7,0.039,34.0,94.0,55
7.2,0.21,0.34,1.1,0.046,25.0,80.0,56
8.3,0.22,0.38,14.8,0.054,32.0,126.0,57
6.3,0.2,0.18,10.6,0.045,57.0,159.0,58
7.7,0.31,0.26,7.8,0.031,23.0,90.0,59
7.9,0.37,0.3,2.7,0.029,64.0,158.0,60
7.4,0.16,0.3,13.7,0.056,33.0,168.0,61
6.3,0.23,0.22,3.75,0.039,37.0,116.0,62
7.0,0.2,0.31,8.0,0.05,29.0,213.0,63
5.9,0.18,0.28,5.1,0.039,50.0,139.0,64
7.4,0.19,0.31,14.5,0.045,39.0,193.0,65
6.3,0.36,0.2,2.0,0.048,48.0,191.0,66
6.6,0.17,0.26,7.4,0.052,45.0,128.0,67
5.8,0.28,0.34,2.2,0.037,24.0,125.0,68
6.8,0.28,0.36,7.0,0.043,60.0,207.0,69
6.7,0.21,0.48,14.8,0.05,31.0,195.0,70
6.1,0.27,0.43,7.5,0.049,65.0,243.0,71
6.8,0.26,0.22,7.7,0.047,57.0,210.0,72
8.6,0.36,0.26,11.1,0.03,43.5,171.0,73
6.4,0.42,0.46,8.4,0.05,58.0,180.0,74
6.0,0.34,0.29,6.1,0.046,29.0,134.0,75
6.3,0.21,0.29,11.7,0.048,49.0,147.0,76
6.8,0.26,0.4,7.5,0.046,45.0,179.0,77
8.6,0.31,0.3,0.9,0.045,16.0,109.0,78
8.0,0.27,0.25,19.1,0.045,50.0,208.0,79
7.4,0.18,0.31,1.4,0.058,38.0,167.0,80
7.4,0.33,0.26,15.6,0.049,67.0,210.0,81
5.3,0.395,0.07,1.3,0.035,26.0,102.0,82
6.3,0.2,0.26,12.7,0.046,60.0,143.0,83
7.6,0.27,0.29,2.5,0.059,37.0,115.0,84
7.1,0.25,0.31,2.3,0.05,32.0,156.0,85
7.0,0.3,0.38,14.9,0.032,60.0,181.0,86
6.9,0.4,0.17,12.9,0.033,59.0,186.0,87
6.4,0.26,0.21,8.2,0.05,51.0,182.0,88
5.3,0.165,0.24,1.1,0.051,25.0,105.0,89
6.3,0.24,0.29,1.6,0.052,48.0,185.0,90
7.8,0.27,0.35,1.2,0.05,36.0,140.0,91
5.8,0.3,0.27,1.7,0.014,45.0,104.0,92
6.8,0.25,0.28,5.0,0.035,42.0,126.0,93
6.3,0.36,0.5,8.3,0.053,51.0,202.0,94
7.7,0.34,0.28,11.0,0.04,31.0,117.0,95
8.4,0.17,0.31,5.4,0.052,47.0,150.0,96
7.3,0.25,0.28,1.5,0.043,19.0,113.0,97
6.5,0.24,0.38,1.0,0.027,31.0,90.0,98
6.7,0.47,0.34,8.9,0.043,31.0,172.0,99
6.7,0.19,0.36,1.1,0.026,63.0,143.0,100
7.9,0.29,0.39,6.7,0.036,6.0,117.0,101
7.0,0.15,0.34,1.4,0.039,21.0,177.0,102
6.6,0.21,0.39,2.3,0.041,31.0,102.0,103
5.9,0.25,0.25,11.3,0.052,30.0,165.0,104
7.5,0.31,0.51,14.8,0.039,62.0,204.0,105
6.4,0.15,0.29,1.8,0.044,21.0,115.0,106
7.5,0.13,0.38,1.1,0.023,42.0,104.0,107
6.8,0.14,0.18,1.4,0.047,30.0,90.0,108
7.2,0.24,0.29,2.2,0.037,37.0,102.0,109
6.9,0.32,0.3,1.8,0.036,28.0,117.0,110
6.4,0.24,0.32,14.9,0.047,54.0,162.0,111
7.3,0.24,0.39,3.6,0.024,35.0,116.0,112
7.0,0.24,0.3,12.3,0.035,72.0,172.0,113
7.3,0.22,0.26,1.5,0.04,32.0,172.0,114
5.7,0.4,0.35,5.1,0.026,17.0,113.0,115
7.0,0.39,0.24,1.0,0.048,8.0,119.0,116
6.7,0.28,0.28,2.4,0.012,36.0,100.0,117
8.1,0.33,0.36,7.4,0.037,36.0,156.0,118
6.9,0.2,0.37,6.2,0.027,24.0,97.0,119
7.3,0.2,0.29,19.5,0.039,69.0,237.0,120
7.4,0.24,0.36,2.0,0.031,27.0,139.0,121
6.6,0.24,0.33,10.1,0.032,8.0,81.0,122
5.2,0.24,0.15,7.1,0.043,32.0,134.0,123
6.6,0.23,0.3,14.9,0.051,33.0,118.0,124
6.8,0.32,0.28,4.8,0.034,25.0,100.0,125
5.9,0.3,0.29,1.1,0.036,23.0,56.0,126
5.8,0.42,0.3,2.2,0.035,26.0,129.0,127
8.1,0.26,0.27,4.3,0.03,43.0,123.0,128
7.4,0.24,0.26,1.6,0.058,53.0,150.0,129
7.2,0.16,0.29,1.0,0.031,40.0,123.0,130
6.1,0.3,0.56,2.7,0.046,46.0,184.0,131
6.7,0.13,0.28,1.2,0.046,35.0,140.0,132
8.5,0.17,0.31,1.0,0.024,13.0,91.0,133
7.0,0.2,0.35,8.8,0.037,31.0,103.0,134
5.6,0.26,0.0,10.2,0.038,13.0,111.0,135
6.9,0.3,0.25,3.3,0.041,26.0,124.0,136
6.4,0.16,0.22,1.4,0.04,41.0,149.0,137
6.4,0.16,0.31,5.3,0.043,42.0,157.0,138
7.0,0.29,0.49,3.8,0.047,37.0,136.0,139
8.1,0.43,0.42,6.6,0.033,36.0,141.0,140
7.5,0.32,0.37,1.2,0.048,22.0,184.0,141
6.8,0.44,0.2,16.0,0.065,61.0,186.0,142
6.6,0.22,0.36,5.5,0.029,30.0,105.0,143
6.9,0.28,0.41,1.4,0.016,6.0,55.0,144
5.5,0.375,0.38,1.7,0.036,17.0,98.0,145
6.6,0.17,0.26,7.4,0.052,45.0,128.0,146
5.6,0.15,0.26,5.55,0.051,51.0,139.0,147
5.8,0.34,0.21,7.2,0.041,48.0,146.0,148
6.2,0.235,0.34,1.9,0.036,4.0,117.0,149
5.9,0.24,0.34,2.0,0.037,40.0,108.0,150
7.6,0.18,0.46,10.2,0.055,58.0,135.0,151
6.0,0.2,0.33,1.1,0.039,45.0,126.0,152
6.8,0.17,0.17,5.1,0.049,26.0,82.0,153
6.1,0.34,0.29,2.2,0.036,25.0,100.0,154
8.3,0.4,0.38,1.1,0.038,15.0,75.0,155
8.5,0.24,0.39,10.4,0.044,20.0,142.0,156
6.5,0.26,0.39,1.4,0.02,12.0,66.0,157
7.4,0.34,0.28,12.1,0.049,31.0,149.0,158
7.6,0.13,0.34,9.3,0.062,40.0,126.0,159
6.5,0.16,0.33,4.8,0.043,45.0,114.0,160
6.6,0.21,0.5,8.7,0.036,41.0,191.0,161
6.8,0.46,0.26,2.7,0.042,28.0,83.0,162
8.3,0.28,0.4,7.8,0.041,38.0,194.0,163
6.6,0.31,0.38,16.05,0.058,16.0,165.0,164
7.1,0.23,0.39,13.7,0.058,26.0,172.0,165
6.6,0.23,0.3,4.6,0.06,29.0,154.0,166
6.6,0.295,0.24,1.6,0.039,29.0,140.0,167
6.9,0.34,0.36,1.4,0.032,13.0,145.0,168
6.2,0.21,0.18,11.6,0.044,61.0,155.0,169
7.0,0.4,0.25,1.8,0.05,51.0,189.0,170
6.8,0.27,0.3,13.0,0.047,69.0,160.0,171
7.3,0.21,0.21,1.6,0.046,35.0,133.0,172
7.1,0.36,0.37,4.8,0.019,39.0,114.0,173
6.6,0.17,0.38,1.5,0.032,28.0,112.0,174
5.7,0.27,0.16,9.0,0.053,32.0,111.0,175
5.6,0.26,0.27,10.6,0.03,27.0,119.0,176
6.1,0.37,0.46,12.0,0.042,61.0,210.0,177
6.1,0.27,0.31,1.5,0.035,17.0,83.0,178
8.0,0.37,0.32,1.6,0.04,32.0,166.0,179
6.9,0.4,0.37,8.9,0.053,36.0,148.0,180
6.0,0.23,0.34,1.3,0.025,23.0,111.0,181
6.9,0.36,0.34,4.2,0.018,57.0,119.0,182
8.0,0.17,0.29,2.4,0.029,52.0,119.0,183
6.0,0.24,0.34,1.0,0.036,52.0,184.0,184
7.8,0.29,0.36,7.0,0.042,38.0,161.0,185
6.3,0.32,0.26,12.3,0.044,24.0,205.0,186
5.6,0.235,0.29,1.2,0.047,33.0,127.0,187
5.4,0.205,0.16,12.55,0.051,31.0,115.0,188
6.2,0.25,0.54,7.0,0.046,58.0,176.0,189
7.7,0.18,0.3,1.2,0.046,49.0,199.0,190
6.6,0.16,0.34,1.1,0.037,41.0,115.0,191
7.6,0.23,0.34,1.6,0.043,24.0,129.0,192
7.6,0.2,0.34,1.8,0.041,42.0,148.0,193
6.6,0.37,0.07,1.4,0.048,58.0,144.0,194
7.0,0.2,0.34,5.7,0.035,32.0,83.0,195
5.9,0.32,0.19,14.5,0.042,37.0,115.0,196
