density,pH,sulphates,alcohol,id
0.9962,3.15,0.34,10.5,0
0.99782,3.14,0.4,8.8,1
0.9976,3.07,0.52,9.6,2
0.99535,3.17,0.43,10.0,3
0.99026,2.8,0.55,12.0,4
0.9947,3.32,0.56,11.0,5
0.9931,3.16,0.59,11.0,6
0.9959,3.13,0.4,8.9,7
0.99272,2.83,0.36,10.0,8
0.99665,3.17,0.39,10.9,9
0.997,3.22,0.59,9.5,10
0.9926,3.33,0.64,10.7,11
0.99556,3.17,0.47,9.4,12
0.9964,3.19,0.55,9.0,13
0.99394,3.45,0.63,10.6,14
0.9998,3.32,0.39,8.7,15
0.9986,3.44,0.47,9.5,16
0.9976,3.19,0.44,8.8,17
0.99712,3.47,0.48,9.1,18
100.014,3.02,0.56,9.1,19
0.99946,3.13,0.62,9.3,20
0.99397,3.21,0.4,10.7,21
0.99438,3.26,0.41,9.5,22
0.9918,3.17,0.64,12.2,23
0.9944,3.1,0.45,9.6,24
0.9943,3.38,0.44,11.0,25
0.994,2.99,0.32,11.0,26
0.993,3.38,0.51,9.7,27
0.9979,3.09,0.44,9.0,28
0.9976,3.03,0.49,10.2,29
0.9942,3.4,0.39,9.7,30
0.9917,3.48,0.44,10.7,31
0.995,3.28,0.38,9.4,32
0.991,2.99,0.41,12.3,33
0.99114,3.06,0.52,10.6,34
0.9895,3.39,0.43,12.7,35
0.98931,3.2,0.36,12.0,36
0.9936,3.4,0.42,11.4,37
0.9908,3.25,0.65,12.4,38
100.196,3.01,0.44,8.5,39
0.99151,2.96,0.39,12.5,40
0.9982,3.23,0.51,9.3,41
0.99095,3.05,0.62,11.2,42
0.99404,3.24,0.58,11.0,43
0.9986,3.04,0.46,8.9,44
0.9912,3.32,0.59,11.5,45
0.9984,3.06,0.45,9.1,46
0.9911,3.19,0.42,11.8,47
0.9961,3.38,0.53,10.5,48
0.9929,3.26,0.53,10.4,49
0.9934,3.12,0.32,11.5,50
0.9922,3.01,0.33,12.0,51
0.9931,2.98,0.41,11.4,52
0.9939,3.24,0.52,9.1,53
0.9918,3.28,0.37,10.1,54
0.98964,3.22,0.57,13.1,55
0.992,3.25,0.4,11.3,56
10.002,3.22,0.5,9.7,57
0.99666,3.09,0.54,9.2,58
0.9944,3.13,0.5,10.4,59
0.9916,3.12,0.59,12.0,60
0.99825,2.9,0.44,8.7,61
0.9927,3.23,0.5,10.7,62
0.99596,3.28,0.57,10.4,63
0.99165,3.16,0.44,11.3,64
0.9986,3.1,0.5,9.2,65
0.9929,3.17,0.51,9.6,66
0.99388,3.16,0.37,10.0,67
0.98986,3.36,0.33,12.8,68
0.99556,3.16,0.49,9.6,69
0.99942,2.95,0.75,8.8,70
0.9957,3.12,0.47,9.0,71
0.9959,3.1,0.47,9.0,72
0.9948,3.03,0.49,12.0,73
0.99495,3.18,0.46,9.7,74
0.99462,3.48,0.57,10.7,75
0.99482,3.22,0.38,10.8,76
0.99583,3.2,0.49,9.3,77
0.99249,2.95,0.39,10.1,78
100.051,3.05,0.5,9.2,79
0.9931,3.16,0.53,10.0,80
0.99907,3.06,0.68,9.5,81
0.992,3.5,0.35,10.6,82
0.99526,3.26,0.35,10.8,83
0.99328,3.09,0.37,9.8,84
0.9914,3.14,0.51,11.4,85
0.9983,3.18,0.61,9.3,86
0.99754,3.08,0.49,9.4,87
0.99542,3.23,0.48,9.5,88
0.9925,3.32,0.47,9.1,89
0.9934,3.21,0.5,9.4,90
0.99138,3.09,0.45,11.2,91
0.98914,3.4,0.56,12.6,92
0.99048,3.12,0.38,12.6,93
0.9955,3.2,0.51,9.6,94
0.99815,3.27,0.29,9.2,95
0.9953,3.24,0.38,9.8,96
0.99338,3.38,0.56,10.1,97
0.98926,3.24,0.36,12.3,98
0.9964,3.22,0.6,9.2,99
0.9912,3.27,0.48,11.0,100
0.9938,3.12,0.42,10.7,101
0.9927,3.32,0.62,10.8,102
0.99221,3.22,0.58,10.9,103
0.997,3.24,0.44,9.5,104
0.9982,3.06,0.6,9.5,105
0.99166,3.1,0.38,10.2,106
0.99112,3.28,0.53,11.8,107
0.99164,3.27,0.54,11.2,108
0.992,3.27,0.64,11.0,109
0.99269,3.24,0.48,11.0,110
0.9968,3.28,0.5,10.2,111
0.9928,3.17,0.51,10.9,112
0.9954,2.99,0.57,10.4,113
0.99194,3.27,0.48,11.2,114
0.99052,3.18,0.67,12.4,115
0.9923,3.0,0.31,10.1,116
0.99064,3.26,0.39,11.7,117
0.99592,3.19,0.54,10.6,118
0.992,3.38,0.49,12.2,119
100.037,3.1,0.48,9.2,120
0.99055,3.28,0.48,12.5,121
0.99626,3.19,0.51,9.8,122
0.99378,3.24,0.48,9.9,123
0.99835,3.04,0.54,9.0,124
0.99026,3.08,0.47,12.4,125
0.9904,3.19,0.38,11.3,126
0.989,3.32,0.47,12.9,127
0.99212,3.16,0.33,11.2,128
0.9936,3.18,0.5,9.9,129
0.98958,3.12,0.4,12.1,130
0.9924,3.31,0.57,10.9,131
0.9927,3.33,0.33,10.1,132
0.993,2.79,0.37,10.1,133
0.99388,3.13,0.49,11.0,134
0.99315,3.44,0.46,12.4,135
0.99428,3.18,0.5,9.3,136
0.9933,3.49,0.58,10.0,137
0.99455,3.35,0.47,10.5,138
0.9938,2.95,0.4,9.4,139
0.9918,2.98,0.39,13.3,140
0.9938,3.09,0.43,9.3,141
0.99884,3.13,0.45,8.6,142
0.99206,3.2,0.47,11.8,143
0.98876,3.16,0.4,13.4,144
0.99142,3.29,0.39,10.5,145
0.99388,3.16,0.37,10.0,146
0.99336,3.47,0.5,11.0,147
0.99441,3.16,0.49,9.8,148
0.99032,3.4,0.44,12.2,149
0.98948,3.19,0.5,12.3,150
0.9968,3.14,0.43,9.9,151
0.99051,3.31,0.45,11.6,152
0.993,3.0,0.38,9.8,153
0.98938,3.06,0.44,11.8,154
0.9934,3.03,0.43,9.2,155
0.9974,3.2,0.53,10.0,156
0.99089,3.25,0.75,11.3,157
0.99677,3.22,0.49,10.3,158
0.9966,3.21,0.39,9.6,159
0.992,3.18,0.44,11.2,160
0.99294,2.96,0.56,11.0,161
0.99114,3.38,0.51,12.0,162
0.9976,3.34,0.51,9.6,163
0.9997,3.38,0.6,9.2,164
0.99755,2.9,0.46,9.0,165
0.99142,3.23,0.49,12.2,166
0.99304,3.35,0.61,10.4,167
0.99214,3.07,0.52,9.8,168
0.99655,3.14,0.52,9.4,169
0.99174,3.0,0.55,11.4,170
0.99705,3.16,0.5,9.6,171
0.99466,3.38,0.46,10.0,172
0.99036,3.08,0.49,12.7,173
0.9914,3.25,0.55,11.4,174
0.99474,3.36,0.37,10.4,175
0.9947,3.4,0.34,10.7,176
