quality,region,color,id
6,Lisboa,White,0
6,Setubal,White,1
7,Madeira,Red,2
5,Alentejo,White,3
6,Minho,Rose,4
7,Beira Interior,Red,5
6,Algarve,White,6
5,Dao,Rose,7
4,Tejo,Red,8
6,Beira Interior,Red,9
6,Beira Interior,White,10
8,Douro Valley,Rose,11
4,Madeira,Rose,12
7,Dao,Rose,13
6,Alentejo,White,14
5,Madeira,Red,15
6,Algarve,White,16
5,Beira Interior,Rose,17
6,Setubal,Red,18
6,Lisboa,Rose,19
6,Tejo,White,20
6,Douro Valley,White,21
6,Setubal,Red,22
6,Algarve,White,23
5,Alentejo,Rose,24
6,Algarve,White,25
7,Minho,White,26
6,Dao,Rose,27
6,Transmontano,White,28
7,Algarve,White,29
6,Tejo,Rose,30
6,Beira Atlantico,Red,31
6,Algarve,Rose,32
8,Lisboa,White,33
5,Beira Atlantico,Red,34
7,Transmontano,White,35
6,Alentejo,White,36
7,Madeira,White,37
8,Tejo,Rose,38
5,Lisboa,White,39
6,Madeira,White,40
6,Transmontano,Rose,41
6,Transmontano,Rose,42
6,Terras De Cister,White,43
7,Transmontano,Rose,44
8,Douro Valley,Red,45
6,Transmontano,White,46
6,Setubal,Red,47
6,Transmontano,Red,48
6,Lisboa,Rose,49
7,Douro Valley,Rose,50
6,Madeira,Red,51
6,Minho,Rose,52
4,Minho,Rose,53
6,Beira Atlantico,Rose,54
7,Setubal,White,55
6,Transmontano,Red,56
5,Beira Interior,Red,57
5,Tejo,Red,58
5,Setubal,White,59
7,Minho,White,60
7,Alentejo,Red,61
6,Minho,Rose,62
6,Terras De Cister,White,63
6,Transmontano,White,64
6,Setubal,Rose,65
5,Algarve,White,66
6,Tejo,White,67
8,Setubal,Red,68
6,Minho,Rose,69
6,Terras De Cister,Rose,70
5,Alentejo,Rose,71
5,Alentejo,Red,72
5,Lisboa,Red,73
6,Douro Valley,White,74
6,Terras De Cister,White,75
5,Lisboa,Red,76
5,Lisboa,Rose,77
5,Tejo,White,78
6,Lisboa,White,79
7,Madeira,Rose,80
5,Terras De Cister,Rose,81
6,Alentejo,Red,82
6,Madeira,White,83
5,Madeira,White,84
6,Beira Atlantico,Rose,85
7,Lisboa,Red,86
5,Setubal,Red,87
5,Lisboa,Red,88
5,Beira Interior,Rose,89
5,Beira Atlantico,Rose,90
5,Beira Interior,Rose,91
7,Madeira,White,92
7,Alentejo,White,93
6,Madeira,White,94
6,Terras De Cister,Rose,95
5,Beira Atlantico,Rose,96
6,Madeira,Rose,97
6,Lisboa,Rose,98
5,Madeira,Red,99
6,Tejo,Red,100
5,Terras De Cister,Red,101
5,Tejo,Rose,102
7,Algarve,White,103
6,Terras De Cister,Rose,104
5,Beira Atlantico,Rose,105
5,Lisboa,Red,106
6,Transmontano,Red,107
6,Madeira,Rose,108
7,Alentejo,White,109
6,Tejo,Rose,110
6,Setubal,Red,111
5,Setubal,White,112
6,Douro Valley,Red,113
6,Algarve,Red,114
6,Minho,Rose,115
4,Douro Valley,Red,116
7,Transmontano,Rose,117
6,Setubal,Red,118
7,Lisboa,Red,119
6,Dao,Rose,120
9,Beira Atlantico,White,121
6,Transmontano,White,122
6,Transmontano,Rose,123
6,Terras De Cister,Red,124
7,Minho,White,125
5,Algarve,Rose,126
6,Algarve,White,127
6,Algarve,Red,128
7,Dao,White,129
7,Tejo,Rose,130
6,Douro Valley,Red,131
7,Setubal,Red,132
5,Terras De Cister,Red,133
6,Douro Valley,Rose,134
6,Algarve,Rose,135
6,Alentejo,White,136
6,Madeira,Red,137
5,Transmontano,White,138
6,Beira Atlantico,Rose,139
7,Algarve,Red,140
5,Lisboa,Rose,141
5,Dao,White,142
6,Tejo,Red,143
5,Setubal,Rose,144
6,Terras De Cister,Rose,145
6,Madeira,Red,146
6,Dao,Rose,147
5,Tejo,Red,148
5,Douro Valley,White,149
6,Algarve,White,150
6,Alentejo,Red,151
7,Dao,Red,152
6,Alentejo,White,153
6,Transmontano,Red,154
5,Douro Valley,White,155
6,Algarve,White,156
7,Dao,Rose,157
5,Beira Atlantico,Rose,158
5,Terras De Cister,Rose,159
6,Tejo,Rose,160
6,Transmontano,Rose,161
8,Madeira,Red,162
6,Minho,Red,163
5,Douro Valley,Red,164
6,Lisboa,Red,165
8,Tejo,Red,166
7,Dao,Red,167
5,Tejo,Red,168
6,Lisboa,Red,169
6,Algarve,White,170
6,Terras De Cister,Rose,171
6,Beira Atlantico,White,172
7,Douro Valley,White,173
7,Beira Atlantico,Red,174
6,Lisboa,Red,175
7,Terras De Cister,White,176
6,Dao,White,177
7,Terras De Cister,Red,178
7,Transmontano,Red,179
5,Transmontano,Rose,180
6,Tejo,White,181
9,Madeira,White,182
